
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="FederalMinimumWage",="",="",="",="",="0.294*"
="",="",="",="",="",="(0.157)"

="StateMinimumWage",="",="",="",="",="0.037"
="",="",="",="",="",="(0.036)"

="crime_index",="",="",="",="",="-0.000"
="",="",="",="",="",="(0.000)"

="Constant",="24.595***",="29.262***",="24.698*",="29.609***",="47.717***"
="",="(0.136)",="(0.669)",="(14.362)",="(0.691)",="(16.247)"

="Observations",="900",="900",="900",="900",="900"
="R-squared",="0.024",="0.287",="0.663",="0.299",="0.673"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
